actual,pred,probability_0,probability_1,probability_2,probability_3,probability_4,probability_5
2,0,0.387104,0.061472,0.112644,0.235554,0.031228,0.171997
4,5,0.002244,0.283775,0.049519,0.068186,0.141358,0.454917
5,5,0.001242,0.208247,0.035315,0.016666,0.004419,0.734111
3,0,0.303693,0.200307,0.052733,0.215908,0.156602,0.070757
4,3,0.016479,0.046661,0.068611,0.456497,0.201923,0.209829
1,1,0.129324,0.488029,0.005985,0.278557,0.056579,0.041525
1,1,0.060062,0.442057,0.009468,0.198045,0.119594,0.170774
2,3,0.093574,0.010234,0.311053,0.480125,0.005364,0.099650
5,5,0.121308,0.201348,0.159864,0.188305,0.085176,0.243999
1,3,0.056243,0.169930,0.003749,0.733355,0.013623,0.023100
1,3,0.309724,0.107556,0.064722,0.416423,0.044860,0.056715
0,5,0.151773,0.066271,0.142228,0.082600,0.222271,0.334857
3,3,0.016729,0.052276,0.069133,0.471155,0.203141,0.187566
3,3,0.198509,0.096692,0.021942,0.509510,0.077740,0.095607
3,2,0.075315,0.020887,0.321412,0.261305,0.009988,0.311094
2,2,0.039541,0.038700,0.489649,0.173058,0.029600,0.229451
3,0,0.403189,0.056743,0.108311,0.180903,0.073332,0.177522
0,0,0.400156,0.156322,0.062258,0.314079,0.006199,0.060987
1,1,0.036168,0.461390,0.136630,0.037480,0.220265,0.108067
3,3,0.114029,0.094499,0.086899,0.423015,0.156645,0.124913
5,5,0.041314,0.043267,0.160981,0.168555,0.179770,0.406114
4,4,0.247697,0.082512,0.066731,0.121975,0.249138,0.231947
4,3,0.103440,0.074202,0.041628,0.450042,0.108307,0.222381
2,2,0.107799,0.195582,0.526389,0.040760,0.066323,0.063147
3,0,0.276994,0.111408,0.084272,0.120751,0.267470,0.139105
2,4,0.087423,0.118086,0.165654,0.192331,0.330810,0.105697
4,3,0.038326,0.183072,0.000153,0.749866,0.026781,0.001802
2,2,0.035009,0.069752,0.849069,0.011126,0.013899,0.021144
4,4,0.139570,0.209440,0.038554,0.199345,0.327586,0.085506
2,2,0.014672,0.034107,0.383619,0.060644,0.254201,0.252757
1,1,0.069507,0.436198,0.199619,0.040486,0.169028,0.085162
4,4,0.057202,0.047534,0.179458,0.075334,0.364982,0.275490
5,3,0.076381,0.032869,0.220436,0.380183,0.009715,0.280415
1,3,0.053882,0.105269,0.004063,0.728369,0.098420,0.009998
3,0,0.286681,0.142516,0.098620,0.215075,0.089206,0.167901
1,3,0.082867,0.317249,0.008075,0.471945,0.064604,0.055261
5,5,0.019882,0.027949,0.191805,0.109311,0.148261,0.502791
1,5,0.091512,0.320996,0.088823,0.136049,0.011364,0.351256
2,2,0.069051,0.034361,0.452233,0.200852,0.074375,0.169130
3,3,0.011611,0.053529,0.060491,0.576337,0.170448,0.127583
1,5,0.006793,0.145366,0.087245,0.084143,0.252593,0.423860
5,5,0.000588,0.113425,0.025147,0.002930,0.000023,0.857887
0,2,0.052111,0.018494,0.385402,0.233486,0.025021,0.285486
4,0,0.355177,0.157227,0.050781,0.220944,0.150576,0.065294
0,0,0.516612,0.114258,0.002439,0.362670,0.001447,0.002575
4,5,0.001170,0.241684,0.023823,0.062182,0.177248,0.493892
2,2,0.025177,0.182720,0.364301,0.028988,0.344175,0.054639
1,1,0.137594,0.456122,0.005165,0.302886,0.049843,0.048389
4,3,0.168288,0.165500,0.047782,0.344888,0.155562,0.117980
5,3,0.106544,0.144038,0.016302,0.605983,0.058741,0.068392
5,5,0.015887,0.012368,0.183863,0.084612,0.144639,0.558630
0,0,0.519204,0.089413,0.051791,0.317500,0.009678,0.012414
1,1,0.123465,0.598891,0.017466,0.102458,0.090185,0.067534
0,0,0.464227,0.056001,0.206671,0.099659,0.066267,0.107174
1,1,0.127737,0.678540,0.020352,0.053701,0.068718,0.050952
2,5,0.003380,0.254857,0.105485,0.069946,0.094971,0.471362
2,2,0.239719,0.106077,0.410895,0.135972,0.052288,0.055049
2,5,0.088608,0.115624,0.183480,0.228658,0.027125,0.356506
2,5,0.062396,0.023876,0.294275,0.263238,0.011808,0.344407
3,3,0.064887,0.151185,0.032325,0.545313,0.079554,0.126736
1,4,0.176561,0.116266,0.082800,0.127758,0.311026,0.185588
3,3,0.016243,0.198238,0.010958,0.675335,0.038196,0.061030
3,5,0.029124,0.159048,0.059659,0.257831,0.006412,0.487926
2,2,0.139455,0.150065,0.248161,0.197268,0.157315,0.107736
3,3,0.199078,0.193314,0.032579,0.350329,0.134057,0.090642
5,5,0.015397,0.008894,0.135662,0.052805,0.187770,0.599472
4,5,0.042462,0.020237,0.088051,0.119511,0.187504,0.542234
0,4,0.059419,0.063783,0.152207,0.093790,0.387860,0.242940
0,5,0.078089,0.057302,0.041120,0.150472,0.179379,0.493639
2,3,0.014070,0.177642,0.035150,0.466878,0.211101,0.095159
0,3,0.067812,0.197340,0.000391,0.713712,0.012715,0.008029
1,5,0.001111,0.230608,0.026566,0.064101,0.146938,0.530676
1,2,0.005772,0.128532,0.750266,0.014584,0.046809,0.054038
1,1,0.006977,0.903736,0.003167,0.015423,0.006466,0.064232
1,1,0.001521,0.858663,0.025981,0.005269,0.004535,0.104032
3,3,0.103453,0.125818,0.018124,0.555050,0.087290,0.110264
5,5,0.003541,0.094979,0.089561,0.094101,0.043085,0.674733
2,2,0.043936,0.156801,0.533137,0.035452,0.175100,0.055574
1,3,0.084853,0.245912,0.000296,0.646150,0.020976,0.001814
4,5,0.001468,0.264878,0.053010,0.064324,0.289478,0.326842
3,3,0.095411,0.067232,0.023587,0.610379,0.075282,0.128108
2,2,0.042746,0.134530,0.622981,0.048012,0.100937,0.050796
1,1,0.036577,0.595748,0.067609,0.072461,0.032664,0.194941
0,3,0.207710,0.246410,0.001674,0.525062,0.014528,0.004615
1,5,0.141111,0.070513,0.020230,0.254480,0.104438,0.409229
2,5,0.061049,0.027741,0.254216,0.291422,0.006793,0.358780
3,5,0.008483,0.205468,0.031489,0.302262,0.064678,0.387621
2,2,0.029061,0.090348,0.757395,0.021944,0.065163,0.036089
5,5,0.051337,0.010565,0.073890,0.060840,0.143459,0.659910
0,3,0.142870,0.053665,0.078924,0.365269,0.088247,0.271026
3,0,0.254265,0.126283,0.046594,0.193603,0.218291,0.160965
4,5,0.010548,0.017740,0.212151,0.074677,0.340180,0.344705
5,2,0.041094,0.133026,0.733673,0.014772,0.049411,0.028024
0,0,0.260315,0.126648,0.084753,0.134534,0.234212,0.159537
2,2,0.051840,0.171232,0.707796,0.012665,0.031875,0.024592
2,2,0.290062,0.107559,0.382545,0.126756,0.052275,0.040803
5,3,0.154742,0.250938,0.002678,0.522848,0.061680,0.007114
0,5,0.288512,0.039171,0.056504,0.137711,0.122435,0.355667
0,0,0.298213,0.123316,0.143656,0.231527,0.143745,0.059543
4,5,0.218630,0.068746,0.093507,0.105024,0.231558,0.282535
5,5,0.157024,0.186052,0.195587,0.117589,0.093544,0.250204
4,4,0.047464,0.088059,0.153694,0.257051,0.270291,0.183441
5,5,0.248630,0.065594,0.061520,0.102701,0.252590,0.268964
3,3,0.090691,0.049103,0.060649,0.406197,0.205819,0.187541
2,4,0.019925,0.228417,0.105473,0.227101,0.248614,0.170470
1,1,0.185301,0.568777,0.056887,0.088376,0.041011,0.059649
2,2,0.021662,0.074881,0.837055,0.011389,0.026755,0.028257
5,5,0.032537,0.008284,0.124874,0.076191,0.095949,0.662164
0,3,0.143763,0.072562,0.030331,0.573069,0.089725,0.090550
0,4,0.182957,0.163535,0.085980,0.117372,0.334954,0.115202
2,2,0.047453,0.068039,0.838224,0.009925,0.019348,0.017011
2,3,0.122771,0.085506,0.029422,0.469355,0.069887,0.223059
0,3,0.079589,0.036239,0.028040,0.783005,0.008468,0.064658
3,2,0.296629,0.221956,0.373181,0.041428,0.046776,0.020030
5,2,0.114027,0.135118,0.616213,0.029754,0.060058,0.044830
3,3,0.063497,0.116039,0.021611,0.644364,0.037192,0.117296
0,5,0.133516,0.035809,0.056403,0.128423,0.216967,0.428882
0,0,0.328650,0.236081,0.179211,0.078322,0.120251,0.057484
4,5,0.140659,0.046510,0.066537,0.090642,0.273862,0.381790
5,5,0.149735,0.050550,0.212977,0.146527,0.103971,0.336240
4,3,0.100124,0.120735,0.034020,0.457446,0.148972,0.138703
3,4,0.059167,0.068826,0.158749,0.245491,0.251329,0.216437
5,1,0.003209,0.357638,0.015285,0.242939,0.087844,0.293085
0,1,0.098780,0.316860,0.079603,0.252288,0.193487,0.058983
1,3,0.061773,0.173474,0.080413,0.377777,0.192418,0.114144
5,5,0.074196,0.044044,0.051100,0.239797,0.069756,0.521106
4,3,0.053612,0.243206,0.000493,0.631346,0.068141,0.003203
1,2,0.033595,0.161792,0.342371,0.075463,0.303075,0.083703
5,3,0.216568,0.221605,0.026756,0.405542,0.067431,0.062097
3,3,0.076582,0.065121,0.012452,0.748264,0.033113,0.064468
3,3,0.051969,0.177647,0.005720,0.687082,0.035545,0.042038
0,3,0.057251,0.092232,0.042861,0.352649,0.147605,0.307401
2,2,0.028188,0.075000,0.850096,0.008058,0.019898,0.018761
1,0,0.757714,0.066555,0.009256,0.162212,0.002795,0.001467
3,0,0.357301,0.213276,0.058744,0.152687,0.159143,0.058849
2,2,0.119577,0.236904,0.281354,0.096675,0.203646,0.061844
4,4,0.002615,0.188256,0.116132,0.074294,0.453812,0.164890
4,4,0.001600,0.048974,0.014857,0.020295,0.872433,0.041841
4,5,0.034184,0.042304,0.063667,0.238398,0.212947,0.408499
0,0,0.416683,0.098916,0.212439,0.189616,0.018396,0.063951
0,2,0.059014,0.056661,0.432454,0.044014,0.015790,0.392066
3,3,0.017252,0.180061,0.006173,0.619384,0.033247,0.143882
1,1,0.114155,0.475894,0.064126,0.038047,0.226831,0.080947
4,4,0.010700,0.052444,0.132417,0.114670,0.529298,0.160472
5,1,0.025540,0.566745,0.057314,0.064971,0.023944,0.261486
4,4,0.019385,0.074053,0.095831,0.181848,0.374823,0.254060
0,0,0.422003,0.171703,0.134263,0.078432,0.123521,0.070079
4,4,0.198029,0.245641,0.126549,0.066142,0.279140,0.084500
1,3,0.234899,0.088531,0.044152,0.250166,0.181921,0.200331
5,5,0.011229,0.247453,0.265987,0.076591,0.065344,0.333395
4,3,0.073542,0.233656,0.000642,0.627212,0.062238,0.002710
0,3,0.085202,0.218741,0.001307,0.664227,0.021352,0.009170
4,0,0.258149,0.120206,0.061733,0.156288,0.249886,0.153738
3,0,0.430403,0.104621,0.082225,0.243024,0.048555,0.091173
5,3,0.155157,0.242714,0.012637,0.418802,0.117440,0.053250
0,0,0.303727,0.205039,0.181775,0.129783,0.128155,0.051520
5,5,0.005984,0.097949,0.117523,0.142871,0.055559,0.580114
3,3,0.110654,0.172711,0.001027,0.691314,0.017431,0.006861
1,2,0.145328,0.234754,0.471034,0.052819,0.063733,0.032333
4,5,0.199889,0.063947,0.055294,0.093458,0.207072,0.380339
4,4,0.078187,0.078604,0.112070,0.215903,0.281405,0.233831
4,2,0.034317,0.164491,0.371752,0.054067,0.269399,0.105974
4,5,0.215479,0.067883,0.090881,0.098895,0.234524,0.292337
5,5,0.090936,0.040578,0.051699,0.311795,0.173887,0.331105
4,4,0.000581,0.033479,0.010520,0.012754,0.912404,0.030262
2,5,0.009797,0.080711,0.212461,0.077745,0.017522,0.601765
3,2,0.067178,0.012900,0.392756,0.227718,0.021726,0.277723
1,3,0.073507,0.174062,0.007376,0.579657,0.062606,0.102793
4,3,0.095226,0.165109,0.024795,0.530929,0.054948,0.128993
0,0,0.698079,0.081894,0.047030,0.141789,0.013542,0.017667
3,2,0.052960,0.009795,0.405073,0.313646,0.010132,0.208394
4,3,0.106070,0.040008,0.011009,0.784521,0.003280,0.055111
4,3,0.014398,0.170423,0.005404,0.736547,0.049151,0.024077
4,0,0.245604,0.106923,0.053154,0.161171,0.243872,0.189276
5,2,0.060219,0.016225,0.320772,0.285786,0.006183,0.310815
2,4,0.032797,0.064165,0.138201,0.170159,0.466232,0.128446
2,2,0.005550,0.129073,0.677624,0.022466,0.050318,0.114970
1,1,0.017385,0.763068,0.033355,0.033820,0.011103,0.141268
1,3,0.058913,0.314255,0.001065,0.570134,0.027872,0.027761
1,1,0.130348,0.550759,0.148941,0.029159,0.098934,0.041860
1,3,0.206090,0.320067,0.018199,0.331641,0.085352,0.038651
4,4,0.193271,0.181286,0.161615,0.107367,0.206461,0.150000
2,2,0.018243,0.092229,0.855817,0.005557,0.011499,0.016656
4,4,0.031000,0.216082,0.117696,0.043383,0.514330,0.077509
3,3,0.085641,0.076129,0.020176,0.650429,0.086567,0.081057
2,3,0.248344,0.136996,0.054385,0.448483,0.080081,0.031710
3,5,0.043076,0.088584,0.100337,0.246031,0.134013,0.387958
0,3,0.390566,0.108773,0.019803,0.437524,0.010390,0.032944
4,2,0.021921,0.127494,0.350720,0.085864,0.316051,0.097950
2,2,0.024821,0.110637,0.709936,0.020994,0.095180,0.038432
4,5,0.191260,0.055363,0.053646,0.086637,0.203206,0.409889
4,2,0.103122,0.126626,0.221803,0.220874,0.197580,0.129994
1,1,0.027227,0.741714,0.001840,0.127632,0.019964,0.081623
3,1,0.026716,0.367901,0.064809,0.183382,0.255034,0.102157
2,5,0.032316,0.013626,0.257848,0.082680,0.126317,0.487213
0,3,0.248520,0.046029,0.196222,0.254640,0.045201,0.209389
5,5,0.001922,0.262527,0.028648,0.072838,0.165606,0.468459
3,3,0.077086,0.090737,0.088761,0.451151,0.025686,0.266578
1,0,0.676476,0.236873,0.051756,0.022193,0.002387,0.010314
0,5,0.166362,0.042428,0.060578,0.092145,0.244478,0.394008
2,2,0.012559,0.111403,0.722893,0.024059,0.069352,0.059734
2,5,0.072305,0.016994,0.213597,0.240194,0.022013,0.434896
4,4,0.011499,0.158223,0.080549,0.140831,0.394007,0.214891
5,2,0.052631,0.017537,0.396455,0.157943,0.011498,0.363936
5,3,0.164878,0.261586,0.019328,0.397075,0.058106,0.099027
1,0,0.406242,0.212125,0.009956,0.322186,0.033793,0.015698
1,1,0.323933,0.369580,0.019798,0.236794,0.034420,0.015474
1,5,0.040851,0.165161,0.137367,0.111492,0.148742,0.396387
2,5,0.068812,0.036718,0.243922,0.288369,0.011079,0.351100
3,3,0.082694,0.058706,0.033955,0.586383,0.035413,0.202849
5,3,0.025259,0.028792,0.080835,0.449815,0.092868,0.322429
1,5,0.001490,0.333307,0.036387,0.079518,0.150819,0.398479
2,0,0.517158,0.169930,0.066539,0.153188,0.068505,0.024680
1,3,0.121462,0.398976,0.001277,0.444850,0.021737,0.011698
1,3,0.027990,0.194118,0.007162,0.678316,0.041563,0.050850
4,5,0.119875,0.025595,0.117721,0.066567,0.196411,0.473830
5,5,0.034207,0.017819,0.093610,0.075138,0.250127,0.529099
2,2,0.063879,0.127829,0.508002,0.056412,0.177948,0.065931
2,2,0.103909,0.128260,0.696454,0.022078,0.027689,0.021609
3,3,0.265419,0.088054,0.041632,0.330929,0.117118,0.156848
4,5,0.001545,0.259618,0.027243,0.067155,0.153546,0.490894
3,3,0.139775,0.054036,0.014757,0.745433,0.017798,0.028202
0,0,0.260005,0.073984,0.105434,0.087756,0.238139,0.234682
3,4,0.186226,0.097830,0.056808,0.165580,0.257106,0.236450
3,3,0.007663,0.274518,0.027848,0.422671,0.059369,0.207931
5,5,0.052192,0.007885,0.324308,0.123259,0.026009,0.466347
1,2,0.058325,0.151717,0.386827,0.057873,0.247886,0.097371
3,2,0.044291,0.011110,0.392879,0.322152,0.010594,0.218974
1,1,0.271734,0.341636,0.208201,0.070824,0.062079,0.045526
5,5,0.002791,0.107367,0.055960,0.053851,0.029957,0.750073
1,4,0.070590,0.231725,0.077327,0.145201,0.384454,0.090703
1,3,0.009400,0.158237,0.032362,0.631760,0.058120,0.110120
3,3,0.013696,0.034140,0.131510,0.442569,0.174934,0.203151
1,3,0.152271,0.359809,0.009565,0.415744,0.037068,0.025543
1,1,0.080641,0.595194,0.017092,0.063470,0.182611,0.060992
2,2,0.035259,0.095673,0.813790,0.011252,0.028759,0.015267
4,2,0.142531,0.185029,0.329488,0.072763,0.145136,0.125053
4,5,0.017038,0.022554,0.282222,0.258691,0.125403,0.294092
1,4,0.014078,0.177073,0.075710,0.025981,0.611364,0.095795
4,4,0.028738,0.087922,0.128058,0.046347,0.566428,0.142507
1,1,0.255663,0.578035,0.029105,0.066151,0.016725,0.054322
3,0,0.291303,0.060192,0.052887,0.162589,0.151682,0.281348
3,5,0.003436,0.307913,0.030593,0.132947,0.123381,0.401730
2,2,0.008395,0.052998,0.876381,0.009123,0.024548,0.028555
3,3,0.130885,0.062082,0.032193,0.456329,0.091998,0.226514
0,0,0.281020,0.278195,0.082784,0.169077,0.150174,0.038750
2,2,0.114801,0.156197,0.251062,0.092718,0.246412,0.138810
0,3,0.070261,0.082800,0.000115,0.845208,0.000891,0.000724
0,0,0.343076,0.264616,0.215803,0.093190,0.051826,0.031489
4,3,0.124557,0.127920,0.049502,0.374277,0.257806,0.065938
0,0,0.846550,0.031796,0.106033,0.007649,0.001837,0.006135
4,4,0.179816,0.103652,0.120937,0.177425,0.250440,0.167730
0,3,0.437401,0.112045,0.003787,0.441542,0.001578,0.003647
4,4,0.001642,0.133191,0.038549,0.081490,0.608681,0.136447
5,5,0.061004,0.069751,0.089726,0.114270,0.278857,0.386392
1,1,0.229305,0.501581,0.068275,0.126251,0.041357,0.033231
1,1,0.017960,0.897439,0.007509,0.017041,0.023514,0.036537
2,2,0.033629,0.027474,0.581662,0.143952,0.075128,0.138154
4,1,0.202745,0.240774,0.111940,0.188122,0.205567,0.050851
3,3,0.022574,0.040292,0.065351,0.617978,0.106751,0.147054
3,3,0.095294,0.041889,0.054179,0.567405,0.059625,0.181609
3,3,0.058060,0.054443,0.043081,0.566971,0.101790,0.175655
3,3,0.074021,0.032847,0.110993,0.396305,0.026494,0.359340
5,2,0.006664,0.231734,0.254358,0.079960,0.190014,0.237269
4,4,0.085872,0.132027,0.079011,0.110108,0.446736,0.146246
0,1,0.111755,0.300965,0.089943,0.197884,0.091914,0.207540
1,4,0.064623,0.312248,0.071324,0.051423,0.388792,0.111590
2,2,0.045929,0.112945,0.683273,0.028315,0.084099,0.045439
2,2,0.187524,0.181638,0.562519,0.030370,0.023426,0.014522
3,5,0.003146,0.206635,0.036565,0.084517,0.174699,0.494439
1,1,0.122580,0.498099,0.014604,0.159470,0.089574,0.115673
2,2,0.025171,0.124012,0.725301,0.018023,0.069388,0.038105
3,5,0.018393,0.212061,0.046974,0.138760,0.258226,0.325587
0,0,0.671001,0.111072,0.117404,0.067994,0.011230,0.021299
1,3,0.215479,0.243624,0.017402,0.419150,0.068306,0.036039
1,2,0.003456,0.225641,0.303295,0.034887,0.287659,0.145061
3,0,0.413408,0.093185,0.057942,0.243057,0.076512,0.115897
4,5,0.002045,0.320153,0.032121,0.081542,0.078390,0.485750
0,0,0.243557,0.119784,0.241272,0.075072,0.187940,0.132376
5,5,0.000925,0.266781,0.024297,0.051165,0.113823,0.543010
1,1,0.106373,0.513999,0.051004,0.120591,0.065305,0.142728
5,1,0.114572,0.637921,0.020768,0.060100,0.091934,0.074706
1,1,0.177366,0.280813,0.073430,0.156091,0.262323,0.049977
2,2,0.011088,0.080526,0.856274,0.007590,0.024044,0.020476
2,2,0.013733,0.047887,0.881076,0.008043,0.028299,0.020961
0,3,0.235684,0.185441,0.038352,0.472384,0.031296,0.036844
3,3,0.090471,0.021612,0.137803,0.464689,0.049755,0.235669
5,5,0.001187,0.244817,0.023966,0.062688,0.173137,0.494206
0,4,0.236220,0.106633,0.095902,0.111783,0.249812,0.199650
5,5,0.002967,0.141138,0.050688,0.064503,0.048042,0.692663
2,1,0.050673,0.632323,0.002974,0.231267,0.027336,0.055427
4,4,0.003373,0.235164,0.065416,0.147661,0.359481,0.188905
1,4,0.004681,0.110820,0.317483,0.029180,0.427481,0.110355
4,5,0.001164,0.218876,0.033551,0.061830,0.327653,0.356926
1,1,0.009366,0.947824,0.001620,0.011841,0.006083,0.023266
3,5,0.224163,0.039120,0.198113,0.193232,0.054745,0.290627
5,1,0.139863,0.230678,0.126418,0.151316,0.183014,0.168711
0,3,0.113293,0.182179,0.035167,0.473520,0.093549,0.102292
2,2,0.103792,0.202897,0.337391,0.068890,0.209356,0.077675
3,5,0.009297,0.176107,0.059503,0.118749,0.177047,0.459298
2,2,0.032954,0.065707,0.855544,0.008105,0.020753,0.016937
0,5,0.090959,0.294069,0.057477,0.223032,0.011927,0.322536
2,2,0.017634,0.055968,0.890039,0.005513,0.016586,0.014260
3,3,0.016169,0.027883,0.114272,0.575612,0.127558,0.138507
4,5,0.005576,0.239545,0.080888,0.094312,0.134568,0.445111
1,3,0.029192,0.108870,0.000022,0.860930,0.000671,0.000315
3,5,0.118386,0.051978,0.087806,0.156701,0.257815,0.327314
5,5,0.019327,0.006213,0.162417,0.055333,0.111737,0.644973
2,1,0.009468,0.447518,0.197427,0.080985,0.090078,0.174525
1,3,0.005149,0.220410,0.001589,0.730699,0.021129,0.021024
3,3,0.023738,0.039099,0.094168,0.506889,0.205818,0.130288
2,2,0.043220,0.011757,0.428412,0.130718,0.030339,0.355555
2,0,0.369586,0.297213,0.072696,0.149782,0.086175,0.024548
1,3,0.138783,0.204452,0.006461,0.562830,0.062305,0.025170
3,5,0.051897,0.016982,0.078448,0.086490,0.186243,0.579940
1,1,0.280929,0.386474,0.036274,0.238929,0.036408,0.020986
0,3,0.043856,0.023126,0.000258,0.930120,0.000338,0.002302
4,0,0.270676,0.110807,0.058216,0.146730,0.244179,0.169393
5,5,0.139612,0.039090,0.039176,0.099515,0.173770,0.508838
